alpha,beta,gamma,mean_lambda2,partition_rate
0.25,0.30000000000000004,0.05,0.8223813397509621,0.0
0.25,0.30000000000000004,0.07500000000000001,0.8074678161933064,0.0
0.25,0.30000000000000004,0.1,0.7970533121784196,0.0
0.25,0.30000000000000004,0.125,0.8204823347356855,0.0
0.25,0.30000000000000004,0.15000000000000002,0.8171131035153282,0.0
0.25,0.30000000000000004,0.17500000000000004,0.8126963884552293,0.0
0.25,0.30000000000000004,0.2,0.8316890942984355,0.0
0.25,0.3500000000000001,0.05,0.8004236857760907,0.0
0.25,0.3500000000000001,0.07500000000000001,0.8312726580944734,0.0
0.25,0.3500000000000001,0.1,0.8446389697383695,0.0
0.25,0.3500000000000001,0.125,0.8286692269328594,0.0
0.25,0.3500000000000001,0.15000000000000002,0.8156129576969721,0.0
0.25,0.3500000000000001,0.17500000000000004,0.8338673200820499,0.0
0.25,0.3500000000000001,0.2,0.8216622732808452,0.0
0.25,0.4,0.05,0.8199750968504447,0.0
0.25,0.4,0.07500000000000001,0.815387631696936,0.0
0.25,0.4,0.1,0.8060130419910952,0.0
0.25,0.4,0.125,0.8099534459251619,0.0
0.25,0.4,0.15000000000000002,0.7996352393258342,0.0
0.25,0.4,0.17500000000000004,0.8111107318093229,0.0
0.25,0.4,0.2,0.8247785813171719,0.0
0.30000000000000004,0.1,0.05,0.8056484824888327,0.0
0.30000000000000004,0.1,0.07500000000000001,0.8022579132346178,0.0
0.30000000000000004,0.1,0.1,0.8275666981188694,0.0
0.30000000000000004,0.1,0.125,0.7947866563038757,0.0
0.30000000000000004,0.1,0.15000000000000002,0.8032861608889312,0.0
0.30000000000000004,0.1,0.17500000000000004,0.8024084453380779,0.0
0.30000000000000004,0.1,0.2,0.7970029429417838,0.0
0.30000000000000004,0.15000000000000002,0.05,0.8014403557586128,0.0
0.30000000000000004,0.15000000000000002,0.07500000000000001,0.7878991000000026,0.0
0.30000000000000004,0.15000000000000002,0.1,0.8270227932982526,0.0
0.30000000000000004,0.15000000000000002,0.125,0.8020624216015969,0.0
0.30000000000000004,0.15000000000000002,0.15000000000000002,0.8010708120117038,0.0
0.30000000000000004,0.15000000000000002,0.17500000000000004,0.8106580353137103,0.0
0.30000000000000004,0.15000000000000002,0.2,0.8082385897051885,0.0
0.30000000000000004,0.2,0.05,0.8143465150265982,0.0
0.30000000000000004,0.2,0.07500000000000001,0.8273862420327748,0.0
0.30000000000000004,0.2,0.1,0.8142178091442827,0.0
0.30000000000000004,0.2,0.125,0.7751746390895464,0.0
0.30000000000000004,0.2,0.15000000000000002,0.8210373837587399,0.0
0.30000000000000004,0.2,0.17500000000000004,0.8113753824961359,0.0
0.30000000000000004,0.2,0.2,0.8237002348884543,0.0
0.30000000000000004,0.25,0.05,0.7794227204947418,0.0
